"","x"
"458",405.82
"459",401.9
"460",405.88
"461",406.04
"462",410.06
"463",400.69
"464",417.27
"465",411.6
"466",409.86
"467",405.53
"468",400.29
"469",410.76
"470",406.26
"471",408.13
"472",405.12
"473",406.12
"474",411.47
"475",350.18
"476",404.81
"477",412.58
"478",409.22
"479",401.25
"480",409.67
"481",413.27
"482",408.46
"483",414.03
"484",407.43
"485",400.95
"486",-705.85
"487",416.64
"488",407.16
"489",405.05
"490",405.31
"491",405.84
"492",399.77
"493",408.73
"494",407.47
"495",409.58
"496",409.75
"497",409.95
"498",200.29
"499",407.9
"500",410.13
"501",401.56
"502",414.05
"503",415.22
"504",394.76
"505",409.73
"506",417.38
"507",411.23
"508",401.34
"509",405.68
"510",411.33
"511",404.55
"512",409.86
"513",409.87
"514",407.31
"515",406.96
"516",387.34
"517",409.32
"518",380.52
"519",406.36
"520",405.03
"521",404.92
"522",414.4
"523",404.48
"524",405.02
"525",399.68
"526",404.02
"527",407.61
"528",405.36
"529",410.96
"530",412.05
"531",411.11
"532",406.09
"533",-766.41
"534",410.12
"535",410.26
"536",398.7
"537",410.96
"538",406.8
"539",415.94
"540",401.96
"541",400.87
"542",409.71
"543",404.38
"544",413.19
"545",160.9
"546",406.81
"547",410.84
"548",412.41
"549",407.3
"550",408.44
"551",-998.36
"552",407.59
"553",410.81
"554",409.59
"555",347.45
"556",399.08
"557",411.76
"558",407.81
"559",412.66
"560",407.61
"561",-13.21
"562",401.38
"563",404.8
"564",407.92
"565",404.51
"566",406.03
"567",406.87
"568",404.99
"569",406.91
"570",411.85
"571",403.55
"572",404.9
"573",408.67
"574",404.39
"575",412.96
"576",403.74
"577",408.04
"578",379.85
"579",406.31
"580",409.19
"581",408.21
"582",412.57
"583",408.41
"584",408.87
"585",407.52
"586",410.99
"587",417.74
"588",408.49
"589",407.85
"590",402.89
"591",411.64
"592",401.6
"593",371.67
"594",400.54
"595",400.84
"596",374.4
"597",411.99
"598",405.49
"599",410.56
"600",74.97
"601",411.22
"602",412.08
"603",405.72
"604",417.21
