"","x"
"1868",414.72
"1869",409.97
"1870",410.25
"1871",352.22
"1872",384.76
"1873",79.75
"1874",329.07
"1875",399.7
"1876",23.68
"1877",395.83
"1878",334.44
"1879",402.56
"1880",405.41
"1881",398.79
"1882",406.13
"1883",411.48
"1884",404.12
"1885",409.18
"1886",378.84
"1887",405.92
"1888",412.67
"1889",321.76
"1890",406.91
"1891",349.34
"1892",402.01
"1893",367.99
"1894",402.09
"1895",389.59
"1896",413.08
"1897",401.1
"1898",410.51
"1899",103.1
"1900",410.32
"1901",404.43
"1902",390.56
"1903",383.87
"1904",410.52
"1905",66.8
"1906",412.47
"1907",407.62
"1908",404.05
"1909",-150.78
"1910",403.9
"1911",411.38
"1912",395.56
"1913",218.64
"1914",338.54
"1915",403.01
"1916",405.22
"1917",402.58
"1918",252.3
"1919",409.26
"1920",148.35
"1921",409.71
"1922",411.38
"1923",408.83
"1924",408.14
"1925",407.71
"1926",409.56
"1927",394.37
"1928",395.04
"1929",404.63
"1930",414.61
"1931",362.72
"1932",411.29
"1933",340.39
"1934",405.08
"1935",410.96
"1936",401.35
"1937",408.79
"1938",396.15
"1939",399.02
"1940",-15.11
"1941",400.6
"1942",402.66
"1943",326.71
"1944",405.57
"1945",313.35
"1946",407.92
"1947",-65.41
"1948",400.79
"1949",404.4
"1950",407.46
"1951",397.71
"1952",413.22
"1953",376.55
"1954",384.47
"1955",87.86
"1956",404.36
"1957",393.63
"1958",407.86
"1959",363.81
"1960",403.86
"1961",407.68
"1962",408.77
"1963",402.08
"1964",107.95
"1965",405.04
"1966",-3135.45
"1967",398.61
"1968",199.62
"1969",414.38
"1970",407.86
"1971",396.81
"1972",336.73
"1973",355.26
"1974",402.99
"1975",408.67
"1976",373.3
"1977",408.45
"1978",-298.01
"1979",402.1
"1980",407.48
"1981",383
"1982",406.59
"1983",405.89
"1984",406.54
"1985",408.04
"1986",398.52
"1987",377.03
"1988",414.3
"1989",402.95
"1990",374.4
"1991",399.21
"1992",403.24
"1993",371.31
"1994",411.55
"1995",288.41
"1996",395.88
"1997",369.77
"1998",164.61
"1999",395.85
"2000",404.95
